x-axis,1,2,3
second,Volt,Volt,Volt
+2.7600E-03,+1.5687500E+00,+1.4687500E+00,+1.1937499E+00
+2.7700E-03,+2.0687500E+00,+1.3437500E+00,+1.1937499E+00
+2.7800E-03,+2.0687500E+00,+1.2812500E+00,+1.3187499E+00
+2.7900E-03,+2.0687500E+00,+1.3125000E+00,+1.4749999E+00
+2.8000E-03,+2.0375000E+00,+1.4375000E+00,+1.6624999E+00
+2.8100E-03,+2.0687500E+00,+1.5625000E+00,+1.8187499E+00
+2.8200E-03,+2.1000000E+00,+1.7187500E+00,+1.9749999E+00
+2.8300E-03,+2.1000000E+00,+1.8437500E+00,+2.0999999E+00
+2.8400E-03,+2.0687500E+00,+1.9687500E+00,+2.2562499E+00
+2.8500E-03,+2.1000000E+00,+2.1250000E+00,+2.3187499E+00
+2.8600E-03,+2.1000000E+00,+2.1875000E+00,+2.3187499E+00
+2.8700E-03,+2.1000000E+00,+2.2500000E+00,+2.3499999E+00
+2.8800E-03,+2.1000000E+00,+2.2812500E+00,+2.3812499E+00
+2.8900E-03,+2.0687500E+00,+2.3125000E+00,+2.3187499E+00
+2.9000E-03,+2.1312500E+00,+2.3125000E+00,+2.2874999E+00
+2.9100E-03,+2.1000000E+00,+2.2812500E+00,+2.2562499E+00
+2.9200E-03,+2.1000000E+00,+2.2187500E+00,+2.1624999E+00
+2.9300E-03,+2.1000000E+00,+2.2187500E+00,+2.1937499E+00
+2.9400E-03,+2.1625000E+00,+2.1875000E+00,+2.1312499E+00
+2.9500E-03,+2.1312500E+00,+2.1250000E+00,+2.0999999E+00
+2.9600E-03,+2.1312500E+00,+2.1250000E+00,+2.0687499E+00
+2.9700E-03,+2.1312500E+00,+2.1250000E+00,+2.1312499E+00
+2.9800E-03,+2.1625000E+00,+2.0937500E+00,+2.0999999E+00
+2.9900E-03,+2.1312500E+00,+2.0937500E+00,+2.1312499E+00
+3.0000E-03,+2.1625000E+00,+2.1250000E+00,+2.1624999E+00
+3.0100E-03,+2.1625000E+00,+2.1250000E+00,+2.1937499E+00
+3.0200E-03,+2.1937500E+00,+2.1562500E+00,+2.1624999E+00
